airport_name,iata_code,latitude,longitude,airport_code,airport_type
Estevan Airport,YEN,49.2103004456,-102.966003418,CYEN,medium_airport
Meadow Lake Airport,YLJ,54.125301361083984,-108.52300262451172,CYLJ,medium_airport
Buffalo Narrows Airport,YVT,55.8418998718,-108.417999268,CYVT,small_airport
Gjoa Haven Airport,YHK,68.635597,-95.849701,CYHK,small_airport
Texada Gillies Bay Airport,YGB,49.694341,-124.518099,CYGB,small_airport
Uranium City Airport,YBE,59.561401,-108.481003,CYBE,small_airport
Trail Regional Airport,YZZ,49.055599,-117.609001,CAD4,small_airport
South Cariboo Region / 108 Mile Airport,ZMH,51.7360992432,-121.333000183,CZML,small_airport
La Tuque Airport,YLQ,47.4096984863,-72.7889022827,CYLQ,small_airport
Vermilion Airport,YVG,53.357714,-110.827388,CYVG,small_airport
Nanaimo Harbour Water Aerodrome,ZNA,49.169813,-123.933845,CAC8,seaplane_base
Lourdes-de-Blanc-Sablon Airport,YBX,51.4436,-57.185299,CYBX,medium_airport
Fort Smith Airport,YSM,60.020302,-111.961998,CYSM,medium_airport
Kasabonika Airport,XKS,53.52470016479492,-88.6427993774414,CYAQ,medium_airport
Natashquan Airport,YNA,50.190114,-61.78898,CYNA,medium_airport
Roberval Airport,YRJ,48.519665,-72.265735,CYRJ,medium_airport
Bella Bella (Campbell Island) Airport,ZEL,52.185001,-128.156994,CBBC,medium_airport
Bella Coola Airport,QBC,52.387501,-126.596001,CYBD,medium_airport
Bonaventure Airport,YVB,48.071098,-65.460297,CYVB,medium_airport
Havre-Saint-Pierre Airport,YGV,50.281898,-63.611401,CYGV,medium_airport
Kindersley Airport,YKY,51.5175018311,-109.180999756,CYKY,medium_airport
Kirkland Lake Airport,YKX,48.21030044555664,-79.98139953613281,CYKX,medium_airport
Kashechewan Airport,ZKE,52.282501,-81.677803,CZKE,small_airport
Kugluktuk Airport,YCO,67.816408,-115.14307,CYCO,small_airport
Old Crow Airport,YOC,67.570602,-139.839005,CYOC,small_airport
Kuujjuarapik Airport,YGW,55.28189849853516,-77.76529693603516,CYGW,medium_airport
Points North Landing Airport,YNL,58.27669906616211,-104.08200073242188,CYNL,medium_airport
Rainbow Lake Airport,YOP,58.491402,-119.407997,CYOP,medium_airport
Alma Airport,YTF,48.5089,-71.641899,CYTF,medium_airport
Churchill Falls Airport,ZUM,53.5619010925293,-64.10639953613281,CZUM,small_airport
Deer Lake Airport,YVZ,52.655613,-94.061208,CYVZ,small_airport
Déline Airport,YWJ,65.211098,-123.435997,CYWJ,small_airport
Fort MacKay/Albian Aerodrome,JHL,57.2238998413,-111.418998718,CAL4,small_airport
Duncan Airport,DUQ,48.754534,-123.709702,CAM3,small_airport
Fort Mackay / Firebag,YFI,57.275833,-110.976666,CFG6,small_airport
Lynn Lake Airport,YYL,56.86389923095703,-101.07599639892578,CYYL,medium_airport
Sandy Lake Airport,ZSJ,53.06420135498047,-93.34439849853516,CZSJ,medium_airport
Hall Beach Airport,YUX,68.7761,-81.2425,CYUX,medium_airport
Burns Lake Airport,YPZ,54.3764,-125.950996,CYPZ,medium_airport
Cache Creek-Ashcroft Regional Airport,YZA,50.775258,-121.321314,CAZ5,medium_airport
Atikokan Municipal Airport,YIB,48.773899,-91.638603,CYIB,medium_airport
Chetwynd Airport,YCQ,55.687198638916016,-121.6269989013672,CYCQ,medium_airport
Digby / Annapolis Regional Airport,YDG,44.5458450365,-65.7854247093,CYID,medium_airport
Key Lake Airport,YKJ,57.25609970092773,-105.61799621582033,CYKJ,medium_airport
Stewart Airport,ZST,55.935410448,-129.982434511,CZST,medium_airport
Alert Bay Airport,YAL,50.582199,-126.916,CYAL,small_airport
Arviat Airport,YEK,61.0942,-94.070801,CYEK,small_airport
Fort Hope Airport,YFH,51.561901,-87.907799,CYFH,small_airport
Fort Mcpherson Airport,ZFM,67.406993,-134.860182,CZFM,small_airport
Grise Fiord Airport,YGZ,76.425823,-82.908583,CYGZ,small_airport
Nemiscau Airport,YNS,51.691101,-76.135597,CYHH,small_airport
Norway House Airport,YNE,53.958302,-97.8442,CYNE,small_airport
Pikangikum Airport,YPM,51.819698,-93.973297,CYPM,small_airport
Tuktoyaktuk / James Gruben Airport,YUB,69.433296,-133.026001,CYUB,small_airport
Wemindji Airport,YNC,53.010601,-78.8311,CYNC,small_airport
Eureka Airport,YEU,79.9946975708,-85.814201355,CYEU,small_airport
High Prairie Airport,ZHP,55.3936,-116.474998,CZHP,small_airport
Coral Harbour Airport,YZS,64.1932983398,-83.3593978882,CYZS,medium_airport
Island Lake Airport,YIV,53.857200622558594,-94.65360260009766,CYIV,medium_airport
